MSN,YYYYMM,Value,Column_Order,Description,Unit
NUETPUS,195713,10,3,Nuclear Electricity Net Generation,Million Kilowatthours
NUETPUS,195813,165,3,Nuclear Electricity Net Generation,Million Kilowatthours
NUETPUS,195913,188,3,Nuclear Electricity Net Generation,Million Kilowatthours
NUETPUS,196013,518,3,Nuclear Electricity Net Generation,Million Kilowatthours
NUETPUS,196113,1692,3,Nuclear Electricity Net Generation,Million Kilowatthours
NUETPUS,196213,2270,3,Nuclear Electricity Net Generation,Million Kilowatthours
NUETPUS,196313,3212,3,Nuclear Electricity Net Generation,Million Kilowatthours
NUETPUS,196413,3343,3,Nuclear Electricity Net Generation,Million Kilowatthours
NUETPUS,196513,3657,3,Nuclear Electricity Net Generation,Million Kilowatthours
NUETPUS,196613,5520,3,Nuclear Electricity Net Generation,Million Kilowatthours
NUETPUS,196713,7655,3,Nuclear Electricity Net Generation,Million Kilowatthours
NUETPUS,196813,12528,3,Nuclear Electricity Net Generation,Million Kilowatthours
NUETPUS,196913,13928,3,Nuclear Electricity Net Generation,Million Kilowatthours
NUETPUS,197013,21804,3,Nuclear Electricity Net Generation,Million Kilowatthours
NUETPUS,197113,38105,3,Nuclear Electricity Net Generation,Million Kilowatthours
NUETPUS,197213,54091,3,Nuclear Electricity Net Generation,Million Kilowatthours
NUETPUS,197301,6246,3,Nuclear Electricity Net Generation,Million Kilowatthours
NUETPUS,197302,5928,3,Nuclear Electricity Net Generation,Million Kilowatthours
NUETPUS,197303,6649,3,Nuclear Electricity Net Generation,Million Kilowatthours
NUETPUS,197304,5876,3,Nuclear Electricity Net Generation,Million Kilowatthours
NUETPUS,197305,5697,3,Nuclear Electricity Net Generation,Million Kilowatthours
NUETPUS,197306,6784,3,Nuclear Electricity Net Generation,Million Kilowatthours
NUETPUS,197307,6960,3,Nuclear Electricity Net Generation,Million Kilowatthours
NUETPUS,197308,7785,3,Nuclear Electricity Net Generation,Million Kilowatthours
NUETPUS,197309,7862,3,Nuclear Electricity Net Generation,Million Kilowatthours
NUETPUS,197310,7518,3,Nuclear Electricity Net Generation,Million Kilowatthours
NUETPUS,197311,8142,3,Nuclear Electricity Net Generation,Million Kilowatthours
NUETPUS,197312,8031,3,Nuclear Electricity Net Generation,Million Kilowatthours
NUETPUS,197313,83479,3,Nuclear Electricity Net Generation,Million Kilowatthours
NUETPUS,197401,7603,3,Nuclear Electricity Net Generation,Million Kilowatthours
NUETPUS,197402,8116,3,Nuclear Electricity Net Generation,Million Kilowatthours
NUETPUS,197403,8777,3,Nuclear Electricity Net Generation,Million Kilowatthours
NUETPUS,197404,7129,3,Nuclear Electricity Net Generation,Million Kilowatthours
NUETPUS,197405,6562,3,Nuclear Electricity Net Generation,Million Kilowatthours
NUETPUS,197406,7080,3,Nuclear Electricity Net Generation,Million Kilowatthours
NUETPUS,197407,10210,3,Nuclear Electricity Net Generation,Million Kilowatthours
NUETPUS,197408,12333,3,Nuclear Electricity Net Generation,Million Kilowatthours
NUETPUS,197409,11010,3,Nuclear Electricity Net Generation,Million Kilowatthours
NUETPUS,197410,10864,3,Nuclear Electricity Net Generation,Million Kilowatthours
NUETPUS,197411,11004,3,Nuclear Electricity Net Generation,Million Kilowatthours
NUETPUS,197412,13288,3,Nuclear Electricity Net Generation,Million Kilowatthours
NUETPUS,197413,113976,3,Nuclear Electricity Net Generation,Million Kilowatthours
NUETPUS,197501,13938,3,Nuclear Electricity Net Generation,Million Kilowatthours
NUETPUS,197502,12733,3,Nuclear Electricity Net Generation,Million Kilowatthours
NUETPUS,197503,14882,3,Nuclear Electricity Net Generation,Million Kilowatthours
NUETPUS,197504,13327,3,Nuclear Electricity Net Generation,Million Kilowatthours
NUETPUS,197505,13764,3,Nuclear Electricity Net Generation,Million Kilowatthours
NUETPUS,197506,12744,3,Nuclear Electricity Net Generation,Million Kilowatthours
NUETPUS,197507,15372,3,Nuclear Electricity Net Generation,Million Kilowatthours
NUETPUS,197508,15880,3,Nuclear Electricity Net Generation,Million Kilowatthours
NUETPUS,197509,14396,3,Nuclear Electricity Net Generation,Million Kilowatthours
NUETPUS,197510,14626,3,Nuclear Electricity Net Generation,Million Kilowatthours
NUETPUS,197511,14164,3,Nuclear Electricity Net Generation,Million Kilowatthours
NUETPUS,197512,16679,3,Nuclear Electricity Net Generation,Million Kilowatthours
NUETPUS,197513,172505,3,Nuclear Electricity Net Generation,Million Kilowatthours
NUETPUS,197601,16099,3,Nuclear Electricity Net Generation,Million Kilowatthours
NUETPUS,197602,14377,3,Nuclear Electricity Net Generation,Million Kilowatthours
NUETPUS,197603,13993,3,Nuclear Electricity Net Generation,Million Kilowatthours
NUETPUS,197604,10982,3,Nuclear Electricity Net Generation,Million Kilowatthours
NUETPUS,197605,11929,3,Nuclear Electricity Net Generation,Million Kilowatthours
NUETPUS,197606,15757,3,Nuclear Electricity Net Generation,Million Kilowatthours
NUETPUS,197607,17709,3,Nuclear Electricity Net Generation,Million Kilowatthours
NUETPUS,197608,18363,3,Nuclear Electricity Net Generation,Million Kilowatthours
NUETPUS,197609,17290,3,Nuclear Electricity Net Generation,Million Kilowatthours
NUETPUS,197610,17355,3,Nuclear Electricity Net Generation,Million Kilowatthours
NUETPUS,197611,16134,3,Nuclear Electricity Net Generation,Million Kilowatthours
NUETPUS,197612,21115,3,Nuclear Electricity Net Generation,Million Kilowatthours
NUETPUS,197613,191104,3,Nuclear Electricity Net Generation,Million Kilowatthours
NUETPUS,197701,22152,3,Nuclear Electricity Net Generation,Million Kilowatthours
NUETPUS,197702,19601,3,Nuclear Electricity Net Generation,Million Kilowatthours
NUETPUS,197703,20672,3,Nuclear Electricity Net Generation,Million Kilowatthours
NUETPUS,197704,19867,3,Nuclear Electricity Net Generation,Million Kilowatthours
NUETPUS,197705,20599,3,Nuclear Electricity Net Generation,Million Kilowatthours
NUETPUS,197706,21517,3,Nuclear Electricity Net Generation,Million Kilowatthours
NUETPUS,197707,21825,3,Nuclear Electricity Net Generation,Million Kilowatthours
NUETPUS,197708,22750,3,Nuclear Electricity Net Generation,Million Kilowatthours
