MSN,YYYYMM,Value,Column_Order,Description,Unit
NUETSUS,195713,0,4,Nuclear Share of Electricity Net Generation,Percent
NUETSUS,195813,0,4,Nuclear Share of Electricity Net Generation,Percent
NUETSUS,195913,0,4,Nuclear Share of Electricity Net Generation,Percent
NUETSUS,196013,0.1,4,Nuclear Share of Electricity Net Generation,Percent
NUETSUS,196113,0.2,4,Nuclear Share of Electricity Net Generation,Percent
NUETSUS,196213,0.3,4,Nuclear Share of Electricity Net Generation,Percent
NUETSUS,196313,0.3,4,Nuclear Share of Electricity Net Generation,Percent
NUETSUS,196413,0.3,4,Nuclear Share of Electricity Net Generation,Percent
NUETSUS,196513,0.3,4,Nuclear Share of Electricity Net Generation,Percent
NUETSUS,196613,0.5,4,Nuclear Share of Electricity Net Generation,Percent
NUETSUS,196713,0.6,4,Nuclear Share of Electricity Net Generation,Percent
NUETSUS,196813,0.9,4,Nuclear Share of Electricity Net Generation,Percent
NUETSUS,196913,1,4,Nuclear Share of Electricity Net Generation,Percent
NUETSUS,197013,1.4,4,Nuclear Share of Electricity Net Generation,Percent
NUETSUS,197113,2.4,4,Nuclear Share of Electricity Net Generation,Percent
NUETSUS,197213,3.1,4,Nuclear Share of Electricity Net Generation,Percent
NUETSUS,197301,3.9,4,Nuclear Share of Electricity Net Generation,Percent
NUETSUS,197302,4.1,4,Nuclear Share of Electricity Net Generation,Percent
NUETSUS,197303,4.5,4,Nuclear Share of Electricity Net Generation,Percent
NUETSUS,197304,4.2,4,Nuclear Share of Electricity Net Generation,Percent
NUETSUS,197305,3.9,4,Nuclear Share of Electricity Net Generation,Percent
NUETSUS,197306,4.2,4,Nuclear Share of Electricity Net Generation,Percent
NUETSUS,197307,4,4,Nuclear Share of Electricity Net Generation,Percent
NUETSUS,197308,4.4,4,Nuclear Share of Electricity Net Generation,Percent
NUETSUS,197309,5,4,Nuclear Share of Electricity Net Generation,Percent
NUETSUS,197310,4.9,4,Nuclear Share of Electricity Net Generation,Percent
NUETSUS,197311,5.5,4,Nuclear Share of Electricity Net Generation,Percent
NUETSUS,197312,5.2,4,Nuclear Share of Electricity Net Generation,Percent
NUETSUS,197313,4.5,4,Nuclear Share of Electricity Net Generation,Percent
NUETSUS,197401,4.8,4,Nuclear Share of Electricity Net Generation,Percent
NUETSUS,197402,5.7,4,Nuclear Share of Electricity Net Generation,Percent
NUETSUS,197403,5.8,4,Nuclear Share of Electricity Net Generation,Percent
NUETSUS,197404,5,4,Nuclear Share of Electricity Net Generation,Percent
NUETSUS,197405,4.3,4,Nuclear Share of Electricity Net Generation,Percent
NUETSUS,197406,4.5,4,Nuclear Share of Electricity Net Generation,Percent
NUETSUS,197407,5.7,4,Nuclear Share of Electricity Net Generation,Percent
NUETSUS,197408,7.1,4,Nuclear Share of Electricity Net Generation,Percent
NUETSUS,197409,7.2,4,Nuclear Share of Electricity Net Generation,Percent
NUETSUS,197410,7.1,4,Nuclear Share of Electricity Net Generation,Percent
NUETSUS,197411,7.3,4,Nuclear Share of Electricity Net Generation,Percent
NUETSUS,197412,8.3,4,Nuclear Share of Electricity Net Generation,Percent
NUETSUS,197413,6.1,4,Nuclear Share of Electricity Net Generation,Percent
NUETSUS,197501,8.5,4,Nuclear Share of Electricity Net Generation,Percent
NUETSUS,197502,8.6,4,Nuclear Share of Electricity Net Generation,Percent
NUETSUS,197503,9.6,4,Nuclear Share of Electricity Net Generation,Percent
NUETSUS,197504,9.1,4,Nuclear Share of Electricity Net Generation,Percent
NUETSUS,197505,9,4,Nuclear Share of Electricity Net Generation,Percent
NUETSUS,197506,7.8,4,Nuclear Share of Electricity Net Generation,Percent
NUETSUS,197507,8.7,4,Nuclear Share of Electricity Net Generation,Percent
NUETSUS,197508,8.8,4,Nuclear Share of Electricity Net Generation,Percent
NUETSUS,197509,9.3,4,Nuclear Share of Electricity Net Generation,Percent
NUETSUS,197510,9.4,4,Nuclear Share of Electricity Net Generation,Percent
NUETSUS,197511,9.3,4,Nuclear Share of Electricity Net Generation,Percent
NUETSUS,197512,9.8,4,Nuclear Share of Electricity Net Generation,Percent
NUETSUS,197513,9,4,Nuclear Share of Electricity Net Generation,Percent
NUETSUS,197601,9,4,Nuclear Share of Electricity Net Generation,Percent
NUETSUS,197602,9.2,4,Nuclear Share of Electricity Net Generation,Percent
NUETSUS,197603,8.5,4,Nuclear Share of Electricity Net Generation,Percent
NUETSUS,197604,7.2,4,Nuclear Share of Electricity Net Generation,Percent
NUETSUS,197605,7.6,4,Nuclear Share of Electricity Net Generation,Percent
NUETSUS,197606,9.1,4,Nuclear Share of Electricity Net Generation,Percent
NUETSUS,197607,9.5,4,Nuclear Share of Electricity Net Generation,Percent
NUETSUS,197608,9.8,4,Nuclear Share of Electricity Net Generation,Percent
NUETSUS,197609,10.5,4,Nuclear Share of Electricity Net Generation,Percent
NUETSUS,197610,10.6,4,Nuclear Share of Electricity Net Generation,Percent
NUETSUS,197611,9.5,4,Nuclear Share of Electricity Net Generation,Percent
NUETSUS,197612,11.5,4,Nuclear Share of Electricity Net Generation,Percent
NUETSUS,197613,9.4,4,Nuclear Share of Electricity Net Generation,Percent
NUETSUS,197701,11.3,4,Nuclear Share of Electricity Net Generation,Percent
NUETSUS,197702,12,4,Nuclear Share of Electricity Net Generation,Percent
NUETSUS,197703,12.2,4,Nuclear Share of Electricity Net Generation,Percent
NUETSUS,197704,12.6,4,Nuclear Share of Electricity Net Generation,Percent
NUETSUS,197705,12.1,4,Nuclear Share of Electricity Net Generation,Percent
NUETSUS,197706,11.9,4,Nuclear Share of Electricity Net Generation,Percent
NUETSUS,197707,11,4,Nuclear Share of Electricity Net Generation,Percent
NUETSUS,197708,11.6,4,Nuclear Share of Electricity Net Generation,Percent
NUETSUS,197709,11.1,4,Nuclear Share of Electricity Net Generation,Percent
NUETSUS,197710,11.4,4,Nuclear Share of Electricity Net Generation,Percent
NUETSUS,197711,11.6,4,Nuclear Share of Electricity Net Generation,Percent
NUETSUS,197712,12.9,4,Nuclear Share of Electricity Net Generation,Percent
NUETSUS,197713,11.8,4,Nuclear Share of Electricity Net Generation,Percent
NUETSUS,197801,13,4,Nuclear Share of Electricity Net Generation,Percent
NUETSUS,197802,12.6,4,Nuclear Share of Electricity Net Generation,Percent
NUETSUS,197803,12.9,4,Nuclear Share of Electricity Net Generation,Percent
NUETSUS,197804,11,4,Nuclear Share of Electricity Net Generation,Percent
NUETSUS,197805,11.6,4,Nuclear Share of Electricity Net Generation,Percent
