MSN,YYYYMM,Value,Column_Order,Description,Unit
NUGBPUS,195713,0.055,2,"Nuclear Generating Units, Net Summer Capacity",Million Kilowatts
NUGBPUS,195813,0.055,2,"Nuclear Generating Units, Net Summer Capacity",Million Kilowatts
NUGBPUS,195913,0.055,2,"Nuclear Generating Units, Net Summer Capacity",Million Kilowatts
NUGBPUS,196013,0.411,2,"Nuclear Generating Units, Net Summer Capacity",Million Kilowatts
NUGBPUS,196113,0.411,2,"Nuclear Generating Units, Net Summer Capacity",Million Kilowatts
NUGBPUS,196213,0.733,2,"Nuclear Generating Units, Net Summer Capacity",Million Kilowatts
NUGBPUS,196313,0.793,2,"Nuclear Generating Units, Net Summer Capacity",Million Kilowatts
NUGBPUS,196413,0.793,2,"Nuclear Generating Units, Net Summer Capacity",Million Kilowatts
NUGBPUS,196513,0.793,2,"Nuclear Generating Units, Net Summer Capacity",Million Kilowatts
NUGBPUS,196613,1.679,2,"Nuclear Generating Units, Net Summer Capacity",Million Kilowatts
NUGBPUS,196713,2.684,2,"Nuclear Generating Units, Net Summer Capacity",Million Kilowatts
NUGBPUS,196813,2.728,2,"Nuclear Generating Units, Net Summer Capacity",Million Kilowatts
NUGBPUS,196913,4.428,2,"Nuclear Generating Units, Net Summer Capacity",Million Kilowatts
NUGBPUS,197013,7.004,2,"Nuclear Generating Units, Net Summer Capacity",Million Kilowatts
NUGBPUS,197113,9.033,2,"Nuclear Generating Units, Net Summer Capacity",Million Kilowatts
NUGBPUS,197213,14.481,2,"Nuclear Generating Units, Net Summer Capacity",Million Kilowatts
NUGBPUS,197301,14.533,2,"Nuclear Generating Units, Net Summer Capacity",Million Kilowatts
NUGBPUS,197302,14.533,2,"Nuclear Generating Units, Net Summer Capacity",Million Kilowatts
NUGBPUS,197303,15.314,2,"Nuclear Generating Units, Net Summer Capacity",Million Kilowatts
NUGBPUS,197304,15.314,2,"Nuclear Generating Units, Net Summer Capacity",Million Kilowatts
NUGBPUS,197305,16.174,2,"Nuclear Generating Units, Net Summer Capacity",Million Kilowatts
NUGBPUS,197306,18.729,2,"Nuclear Generating Units, Net Summer Capacity",Million Kilowatts
NUGBPUS,197307,18.729,2,"Nuclear Generating Units, Net Summer Capacity",Million Kilowatts
NUGBPUS,197308,19.205,2,"Nuclear Generating Units, Net Summer Capacity",Million Kilowatts
NUGBPUS,197309,19.205,2,"Nuclear Generating Units, Net Summer Capacity",Million Kilowatts
NUGBPUS,197310,20.271,2,"Nuclear Generating Units, Net Summer Capacity",Million Kilowatts
NUGBPUS,197311,20.271,2,"Nuclear Generating Units, Net Summer Capacity",Million Kilowatts
NUGBPUS,197312,22.683,2,"Nuclear Generating Units, Net Summer Capacity",Million Kilowatts
NUGBPUS,197313,22.683,2,"Nuclear Generating Units, Net Summer Capacity",Million Kilowatts
NUGBPUS,197401,22.683,2,"Nuclear Generating Units, Net Summer Capacity",Million Kilowatts
NUGBPUS,197402,23.735,2,"Nuclear Generating Units, Net Summer Capacity",Million Kilowatts
NUGBPUS,197403,23.675,2,"Nuclear Generating Units, Net Summer Capacity",Million Kilowatts
NUGBPUS,197404,24.201,2,"Nuclear Generating Units, Net Summer Capacity",Million Kilowatts
NUGBPUS,197405,25.461,2,"Nuclear Generating Units, Net Summer Capacity",Million Kilowatts
NUGBPUS,197406,26.237,2,"Nuclear Generating Units, Net Summer Capacity",Million Kilowatts
NUGBPUS,197407,26.237,2,"Nuclear Generating Units, Net Summer Capacity",Million Kilowatts
NUGBPUS,197408,28.139,2,"Nuclear Generating Units, Net Summer Capacity",Million Kilowatts
NUGBPUS,197409,30.032,2,"Nuclear Generating Units, Net Summer Capacity",Million Kilowatts
NUGBPUS,197410,30.905,2,"Nuclear Generating Units, Net Summer Capacity",Million Kilowatts
NUGBPUS,197411,31.356,2,"Nuclear Generating Units, Net Summer Capacity",Million Kilowatts
NUGBPUS,197412,31.867,2,"Nuclear Generating Units, Net Summer Capacity",Million Kilowatts
NUGBPUS,197413,31.867,2,"Nuclear Generating Units, Net Summer Capacity",Million Kilowatts
NUGBPUS,197501,32.692,2,"Nuclear Generating Units, Net Summer Capacity",Million Kilowatts
NUGBPUS,197502,34.516,2,"Nuclear Generating Units, Net Summer Capacity",Million Kilowatts
NUGBPUS,197503,34.516,2,"Nuclear Generating Units, Net Summer Capacity",Million Kilowatts
NUGBPUS,197504,35.306,2,"Nuclear Generating Units, Net Summer Capacity",Million Kilowatts
NUGBPUS,197505,35.306,2,"Nuclear Generating Units, Net Summer Capacity",Million Kilowatts
NUGBPUS,197506,35.306,2,"Nuclear Generating Units, Net Summer Capacity",Million Kilowatts
NUGBPUS,197507,35.306,2,"Nuclear Generating Units, Net Summer Capacity",Million Kilowatts
NUGBPUS,197508,35.306,2,"Nuclear Generating Units, Net Summer Capacity",Million Kilowatts
NUGBPUS,197509,35.306,2,"Nuclear Generating Units, Net Summer Capacity",Million Kilowatts
NUGBPUS,197510,35.306,2,"Nuclear Generating Units, Net Summer Capacity",Million Kilowatts
NUGBPUS,197511,36.163,2,"Nuclear Generating Units, Net Summer Capacity",Million Kilowatts
NUGBPUS,197512,37.267,2,"Nuclear Generating Units, Net Summer Capacity",Million Kilowatts
NUGBPUS,197513,37.267,2,"Nuclear Generating Units, Net Summer Capacity",Million Kilowatts
NUGBPUS,197601,37.267,2,"Nuclear Generating Units, Net Summer Capacity",Million Kilowatts
NUGBPUS,197602,37.267,2,"Nuclear Generating Units, Net Summer Capacity",Million Kilowatts
NUGBPUS,197603,37.267,2,"Nuclear Generating Units, Net Summer Capacity",Million Kilowatts
NUGBPUS,197604,38.232,2,"Nuclear Generating Units, Net Summer Capacity",Million Kilowatts
NUGBPUS,197605,39.071,2,"Nuclear Generating Units, Net Summer Capacity",Million Kilowatts
NUGBPUS,197606,39.881,2,"Nuclear Generating Units, Net Summer Capacity",Million Kilowatts
NUGBPUS,197607,39.881,2,"Nuclear Generating Units, Net Summer Capacity",Million Kilowatts
NUGBPUS,197608,39.818,2,"Nuclear Generating Units, Net Summer Capacity",Million Kilowatts
NUGBPUS,197609,40.884,2,"Nuclear Generating Units, Net Summer Capacity",Million Kilowatts
NUGBPUS,197610,40.884,2,"Nuclear Generating Units, Net Summer Capacity",Million Kilowatts
NUGBPUS,197611,40.884,2,"Nuclear Generating Units, Net Summer Capacity",Million Kilowatts
NUGBPUS,197612,43.822,2,"Nuclear Generating Units, Net Summer Capacity",Million Kilowatts
NUGBPUS,197613,43.822,2,"Nuclear Generating Units, Net Summer Capacity",Million Kilowatts
NUGBPUS,197701,44.559,2,"Nuclear Generating Units, Net Summer Capacity",Million Kilowatts
NUGBPUS,197702,44.559,2,"Nuclear Generating Units, Net Summer Capacity",Million Kilowatts
NUGBPUS,197703,44.559,2,"Nuclear Generating Units, Net Summer Capacity",Million Kilowatts
NUGBPUS,197704,44.559,2,"Nuclear Generating Units, Net Summer Capacity",Million Kilowatts
NUGBPUS,197705,44.559,2,"Nuclear Generating Units, Net Summer Capacity",Million Kilowatts
NUGBPUS,197706,44.559,2,"Nuclear Generating Units, Net Summer Capacity",Million Kilowatts
NUGBPUS,197707,44.559,2,"Nuclear Generating Units, Net Summer Capacity",Million Kilowatts
NUGBPUS,197708,46.303,2,"Nuclear Generating Units, Net Summer Capacity",Million Kilowatts
NUGBPUS,197709,46.303,2,"Nuclear Generating Units, Net Summer Capacity",Million Kilowatts
NUGBPUS,197710,46.303,2,"Nuclear Generating Units, Net Summer Capacity",Million Kilowatts
NUGBPUS,197711,46.303,2,"Nuclear Generating Units, Net Summer Capacity",Million Kilowatts
NUGBPUS,197712,46.303,2,"Nuclear Generating Units, Net Summer Capacity",Million Kilowatts
NUGBPUS,197713,46.303,2,"Nuclear Generating Units, Net Summer Capacity",Million Kilowatts
NUGBPUS,197801,46.303,2,"Nuclear Generating Units, Net Summer Capacity",Million Kilowatts
NUGBPUS,197802,46.303,2,"Nuclear Generating Units, Net Summer Capacity",Million Kilowatts
NUGBPUS,197803,47.403,2,"Nuclear Generating Units, Net Summer Capacity",Million Kilowatts
NUGBPUS,197804,49.198,2,"Nuclear Generating Units, Net Summer Capacity",Million Kilowatts
NUGBPUS,197805,49.198,2,"Nuclear Generating Units, Net Summer Capacity",Million Kilowatts
NUGBPUS,197806,49.198,2,"Nuclear Generating Units, Net Summer Capacity",Million Kilowatts
NUGBPUS,197807,49.198,2,"Nuclear Generating Units, Net Summer Capacity",Million Kilowatts
NUGBPUS,197808,49.198,2,"Nuclear Generating Units, Net Summer Capacity",Million Kilowatts
NUGBPUS,197809,49.966,2,"Nuclear Generating Units, Net Summer Capacity",Million Kilowatts
NUGBPUS,197810,49.966,2,"Nuclear Generating Units, Net Summer Capacity",Million Kilowatts
NUGBPUS,197811,49.966,2,"Nuclear Generating Units, Net Summer Capacity",Million Kilowatts
NUGBPUS,197812,50.824,2,"Nuclear Generating Units, Net Summer Capacity",Million Kilowatts
NUGBPUS,197813,50.824,2,"Nuclear Generating Units, Net Summer Capacity",Million Kilowatts
NUGBPUS,197901,50.627,2,"Nuclear Generating Units, Net Summer Capacity",Million Kilowatts
NUGBPUS,197902,50.627,2,"Nuclear Generating Units, Net Summer Capacity",Million Kilowatts
